T,power,danger,structure,coverage
23500,0.01506,-0.12982,0.00300,0.299
23600,0.01543,-0.12905,0.00306,0.299
23700,0.01458,-0.12872,0.00334,0.298
23800,0.01499,-0.12852,0.00319,0.298
23900,0.01463,-0.12861,0.00282,0.300
24000,0.01426,-0.12810,0.00230,0.301
24100,0.01451,-0.12830,0.00257,0.301
24200,0.01516,-0.12844,0.00269,0.302
24300,0.01483,-0.12879,0.00239,0.302
24400,0.01539,-0.12893,0.00267,0.301
24500,0.01576,-0.12899,0.00244,0.302
24600,0.01518,-0.12950,0.00219,0.302
24700,0.01610,-0.13009,0.00165,0.303
24800,0.01632,-0.13029,0.00199,0.302
24900,0.01796,-0.13140,0.00233,0.302
25000,0.01831,-0.13170,0.00227,0.301
25100,0.01846,-0.13243,0.00230,0.302
25200,0.01830,-0.13305,0.00206,0.302
25300,0.01858,-0.13423,0.00185,0.301
25400,0.01862,-0.13536,0.00264,0.301
25500,0.01891,-0.13569,0.00234,0.301
25600,0.01938,-0.13569,0.00203,0.301
25700,0.02063,-0.13572,0.00233,0.301
25800,0.02082,-0.13662,0.00235,0.301
25900,0.02091,-0.13793,0.00229,0.302
26000,0.02059,-0.13833,0.00249,0.301
26100,0.02153,-0.13790,0.00265,0.302
26200,0.02039,-0.13718,0.00270,0.302
26300,0.01928,-0.13707,0.00276,0.302
26400,0.01936,-0.13688,0.00287,0.303
26500,0.01863,-0.13672,0.00287,0.302
26600,0.01897,-0.13742,0.00261,0.302
26700,0.02036,-0.13750,0.00277,0.301
26800,0.02038,-0.13848,0.00240,0.301
26900,0.02075,-0.13733,0.00252,0.301
27000,0.02047,-0.13722,0.00226,0.300
27100,0.02042,-0.13739,0.00272,0.301
27200,0.02011,-0.13794,0.00258,0.300
27300,0.02085,-0.13839,0.00223,0.301
27400,0.01979,-0.13881,0.00218,0.302
27500,0.02107,-0.13948,0.00229,0.301
27600,0.02169,-0.14059,0.00218,0.300
27700,0.02060,-0.14030,0.00156,0.300
27800,0.02103,-0.14069,0.00143,0.299
27900,0.02087,-0.14065,0.00153,0.299
28000,0.02146,-0.14066,0.00134,0.299
28100,0.01935,-0.14065,0.00119,0.299
28200,0.02066,-0.14020,0.00130,0.297
28300,0.02075,-0.14057,0.00172,0.297
28400,0.02163,-0.13981,0.00180,0.296
28500,0.02094,-0.13858,0.00202,0.296
28600,0.02160,-0.13838,0.00219,0.296
28700,0.02196,-0.13804,0.00223,0.295
28800,0.02234,-0.13785,0.00208,0.295
28900,0.02268,-0.13805,0.00208,0.294
29000,0.02321,-0.13946,0.00191,0.294
29100,0.02482,-0.13942,0.00200,0.294
29200,0.02502,-0.14018,0.00187,0.294
29300,0.02557,-0.14074,0.00176,0.293
29400,0.02651,-0.14032,0.00183,0.292
29500,0.02691,-0.14048,0.00204,0.292
29600,0.02810,-0.14024,0.00192,0.293
29700,0.02941,-0.13992,0.00196,0.292
29800,0.02952,-0.13899,0.00197,0.292
29900,0.02991,-0.13895,0.00179,0.291
30000,0.03184,-0.13984,0.00182,0.291
30100,0.03224,-0.14134,0.00212,0.292
30200,0.03293,-0.14147,0.00248,0.292
30300,0.03287,-0.14124,0.00251,0.292
30400,0.03220,-0.14159,0.00246,0.291
30500,0.03301,-0.14095,0.00287,0.291
30600,0.03372,-0.14112,0.00269,0.289
30700,0.03518,-0.14227,0.00262,0.290
30800,0.03590,-0.14125,0.00241,0.290
30900,0.03614,-0.14060,0.00269,0.291
31000,0.03569,-0.13935,0.00261,0.290
31100,0.03496,-0.13837,0.00255,0.288
31200,0.03521,-0.13779,0.00265,0.288
31300,0.03501,-0.13756,0.00252,0.289
31400,0.03537,-0.13669,0.00237,0.289
31500,0.03539,-0.13644,0.00218,0.289
31600,0.03606,-0.13676,0.00235,0.290
31700,0.03725,-0.13630,0.00232,0.291
31800,0.03663,-0.13623,0.00242,0.291
31900,0.03547,-0.13678,0.00216,0.291
32000,0.03661,-0.13714,0.00201,0.291
32100,0.03597,-0.13735,0.00185,0.292
32200,0.03617,-0.13771,0.00190,0.292
32300,0.03667,-0.13829,0.00184,0.291
32400,0.03526,-0.13797,0.00107,0.290
32500,0.03463,-0.13712,0.00081,0.289
32600,0.03484,-0.13636,0.00117,0.288
32700,0.03384,-0.13504,0.00115,0.287
32800,0.03368,-0.13532,0.00114,0.288
32900,0.03382,-0.13658,0.00087,0.287
33000,0.03535,-0.13624,0.00043,0.287
33100,0.03677,-0.13563,0.00007,0.287
33200,0.03767,-0.13548,-0.00001,0.286
33300,0.03739,-0.13590,0.00003,0.286
33400,0.03792,-0.13599,0.00036,0.287
33500,0.03945,-0.13604,0.00055,0.285
33600,0.04025,-0.13660,0.00019,0.286
33700,0.04011,-0.13564,-0.00011,0.286
33800,0.03889,-0.13522,-0.00025,0.285
33900,0.03844,-0.13311,0.00033,0.284
34000,0.03788,-0.13244,0.00032,0.283
34100,0.03709,-0.13322,0.00064,0.284
34200,0.03656,-0.13274,0.00064,0.283
34300,0.03700,-0.13282,0.00130,0.284
34400,0.03682,-0.13254,0.00122,0.285
34500,0.03595,-0.13334,0.00186,0.285
34600,0.03627,-0.13341,0.00185,0.285
34700,0.03467,-0.13345,0.00208,0.284
34800,0.03442,-0.13358,0.00214,0.284
34900,0.03307,-0.13287,0.00185,0.284
35000,0.03263,-0.13219,0.00193,0.284
35100,0.03233,-0.13197,0.00180,0.284
35200,0.03363,-0.13206,0.00203,0.283
35300,0.03366,-0.13197,0.00237,0.284
35400,0.03442,-0.13106,0.00172,0.283
35500,0.03424,-0.13019,0.00206,0.283
35600,0.03330,-0.12990,0.00200,0.282
35700,0.03209,-0.12965,0.00181,0.282
35800,0.03246,-0.12902,0.00162,0.281
35900,0.03318,-0.12724,0.00159,0.281
36000,0.03338,-0.12673,0.00145,0.280
36100,0.03233,-0.12520,0.00068,0.279
36200,0.03285,-0.12495,0.00057,0.279
36300,0.03394,-0.12579,0.00042,0.279
36400,0.03307,-0.12513,0.00040,0.278
36500,0.03325,-0.12498,0.00030,0.279
36600,0.03190,-0.12397,0.00067,0.279
36700,0.03084,-0.12405,0.00024,0.279
36800,0.03119,-0.12355,0.00085,0.279
36900,0.03105,-0.12537,0.00120,0.280
37000,0.03128,-0.12539,0.00156,0.280
37100,0.03090,-0.12477,0.00119,0.280
37200,0.03082,-0.12478,0.00142,0.281
37300,0.02948,-0.12329,0.00181,0.280
37400,0.02933,-0.12173,0.00189,0.279
37500,0.02863,-0.11929,0.00143,0.279
37600,0.02883,-0.11837,0.00144,0.279
37700,0.02781,-0.11792,0.00127,0.279
37800,0.02616,-0.11723,0.00131,0.280
37900,0.02590,-0.11595,0.00113,0.280
38000,0.02435,-0.11480,0.00105,0.280
38100,0.02506,-0.11435,0.00078,0.279
38200,0.02392,-0.11342,0.00065,0.279
38300,0.02325,-0.11254,0.00015,0.279
38400,0.02310,-0.11213,0.00003,0.280
38500,0.02476,-0.11276,-0.00019,0.280
38600,0.02500,-0.11284,-0.00049,0.281
38700,0.02498,-0.11282,-0.00043,0.283
38800,0.02482,-0.11307,-0.00035,0.284
38900,0.02400,-0.11284,-0.00019,0.284
39000,0.02359,-0.11239,0.00040,0.283
39100,0.02388,-0.11328,0.00051,0.283
39200,0.02364,-0.11279,0.00045,0.283
39300,0.02252,-0.11216,0.00086,0.283
39400,0.02186,-0.11263,0.00076,0.283
39500,0.02111,-0.11212,0.00093,0.283
39600,0.02050,-0.11243,0.00092,0.282
39700,0.01977,-0.11239,0.00131,0.282
39800,0.01939,-0.11423,0.00122,0.282
39900,0.01918,-0.11490,0.00130,0.282
40000,0.01678,-0.11447,0.00081,0.281
40100,0.01702,-0.11472,0.00067,0.281
40200,0.01659,-0.11477,0.00023,0.280
40300,0.01687,-0.11453,0.00028,0.280
40400,0.01777,-0.11438,0.00069,0.280
40500,0.01739,-0.11534,0.00045,0.281
40600,0.01678,-0.11576,0.00009,0.281
40700,0.01581,-0.11462,0.00033,0.282
40800,0.01593,-0.11561,0.00064,0.281
40900,0.01550,-0.11713,0.00071,0.281
41000,0.01533,-0.11696,0.00065,0.282
41100,0.01519,-0.11635,0.00025,0.282
41200,0.01484,-0.11598,0.00046,0.282
41300,0.01440,-0.11469,0.00066,0.281
41400,0.01280,-0.11382,0.00125,0.280
41500,0.01178,-0.11319,0.00132,0.279
41600,0.01062,-0.11197,0.00080,0.278
41700,0.00956,-0.11173,0.00066,0.278
41800,0.00979,-0.11139,0.00046,0.278
41900,0.01155,-0.11028,0.00049,0.279
42000,0.01156,-0.10964,0.00030,0.279
42100,0.01199,-0.10990,0.00058,0.279
42200,0.01121,-0.10963,-0.00008,0.279
42300,0.01008,-0.10797,0.00027,0.279
42400,0.01018,-0.10887,0.00024,0.281
42500,0.01087,-0.11007,0.00012,0.282
42600,0.01029,-0.11157,-0.00002,0.283
42700,0.00996,-0.11179,0.00004,0.283
42800,0.00919,-0.11117,0.00031,0.282
42900,0.00902,-0.11040,0.00069,0.283
43000,0.00865,-0.11023,0.00092,0.281
43100,0.00783,-0.11081,0.00142,0.281
43200,0.00690,-0.11147,0.00160,0.282
43300,0.00601,-0.11019,0.00130,0.281
43400,0.00508,-0.10914,0.00129,0.281
43500,0.00336,-0.10871,0.00110,0.281
