T,power,danger,structure,coverage
31000,0.00547,-0.10339,-0.00442,0.293
31100,0.00377,-0.10435,-0.00402,0.292
31200,0.00314,-0.10321,-0.00437,0.292
31300,0.00033,-0.10216,-0.00461,0.291
31400,0.00058,-0.09975,-0.00450,0.292
31500,0.00137,-0.09898,-0.00453,0.292
31600,0.00141,-0.09794,-0.00435,0.293
31700,0.00206,-0.09811,-0.00433,0.294
31800,0.00352,-0.09763,-0.00430,0.294
31900,0.00366,-0.09756,-0.00440,0.294
32000,0.00392,-0.09716,-0.00446,0.293
32100,0.00381,-0.09675,-0.00451,0.294
32200,0.00256,-0.09556,-0.00463,0.293
32300,0.00210,-0.09476,-0.00476,0.293
32400,0.00022,-0.09314,-0.00415,0.294
32500,0.00087,-0.09294,-0.00404,0.294
32600,-0.00017,-0.09196,-0.00397,0.295
32700,-0.00000,-0.09096,-0.00405,0.297
32800,0.00004,-0.09083,-0.00383,0.298
32900,0.00013,-0.09085,-0.00357,0.298
33000,0.00098,-0.09026,-0.00325,0.299
33100,0.00097,-0.09099,-0.00319,0.300
33200,0.00189,-0.09152,-0.00294,0.301
33300,0.00039,-0.09070,-0.00286,0.300
33400,0.00099,-0.09148,-0.00258,0.301
33500,-0.00033,-0.09120,-0.00285,0.302
33600,-0.00170,-0.09183,-0.00273,0.303
33700,-0.00225,-0.09209,-0.00269,0.304
33800,-0.00223,-0.09238,-0.00325,0.304
33900,-0.00260,-0.09247,-0.00323,0.305
34000,-0.00302,-0.09285,-0.00323,0.305
34100,-0.00468,-0.09231,-0.00328,0.305
34200,-0.00560,-0.09224,-0.00313,0.305
34300,-0.00545,-0.09232,-0.00324,0.305
34400,-0.00606,-0.09268,-0.00317,0.306
34500,-0.00592,-0.09247,-0.00280,0.307
34600,-0.00589,-0.09255,-0.00277,0.307
34700,-0.00639,-0.09334,-0.00291,0.307
34800,-0.00739,-0.09246,-0.00335,0.307
34900,-0.00651,-0.09480,-0.00303,0.306
35000,-0.00688,-0.09431,-0.00326,0.307
35100,-0.00702,-0.09455,-0.00340,0.308
35200,-0.00719,-0.09529,-0.00292,0.309
35300,-0.00761,-0.09667,-0.00274,0.309
35400,-0.00839,-0.09662,-0.00214,0.309
35500,-0.00982,-0.09605,-0.00222,0.308
35600,-0.01048,-0.09643,-0.00216,0.307
35700,-0.01063,-0.09683,-0.00207,0.308
35800,-0.01116,-0.09703,-0.00201,0.309
35900,-0.01112,-0.09638,-0.00164,0.308
36000,-0.01144,-0.09570,-0.00157,0.308
36100,-0.01154,-0.09642,-0.00219,0.308
36200,-0.01239,-0.09631,-0.00200,0.309
36300,-0.01319,-0.09643,-0.00195,0.310
36400,-0.01226,-0.09672,-0.00235,0.310
36500,-0.01086,-0.09738,-0.00284,0.311
36600,-0.00914,-0.09810,-0.00279,0.311
36700,-0.00949,-0.09809,-0.00311,0.311
36800,-0.01023,-0.09753,-0.00287,0.311
36900,-0.00987,-0.09849,-0.00289,0.310
37000,-0.01040,-0.09875,-0.00312,0.311
37100,-0.01090,-0.09874,-0.00293,0.310
37200,-0.01010,-0.09912,-0.00256,0.310
37300,-0.01049,-0.09910,-0.00232,0.309
37400,-0.01096,-0.09969,-0.00245,0.309
37500,-0.01048,-0.10014,-0.00257,0.308
37600,-0.00961,-0.10085,-0.00255,0.308
37700,-0.00895,-0.09989,-0.00291,0.307
37800,-0.00872,-0.10146,-0.00267,0.307
37900,-0.00810,-0.10252,-0.00284,0.306
38000,-0.00818,-0.10290,-0.00356,0.306
38100,-0.00785,-0.10274,-0.00344,0.307
38200,-0.00810,-0.10368,-0.00349,0.306
38300,-0.00843,-0.10434,-0.00315,0.306
38400,-0.00812,-0.10588,-0.00297,0.305
38500,-0.00871,-0.10701,-0.00324,0.305
38600,-0.00876,-0.10729,-0.00363,0.305
38700,-0.00911,-0.10823,-0.00418,0.305
38800,-0.00933,-0.10747,-0.00371,0.305
38900,-0.00931,-0.10790,-0.00403,0.305
39000,-0.00782,-0.10756,-0.00413,0.305
39100,-0.00691,-0.10770,-0.00392,0.306
39200,-0.00614,-0.10831,-0.00326,0.305
39300,-0.00640,-0.10834,-0.00297,0.305
39400,-0.00591,-0.10892,-0.00330,0.305
39500,-0.00655,-0.10838,-0.00270,0.306
39600,-0.00728,-0.10915,-0.00312,0.305
39700,-0.00629,-0.11067,-0.00258,0.304
39800,-0.00582,-0.11031,-0.00236,0.305
39900,-0.00576,-0.11060,-0.00210,0.305
40000,-0.00558,-0.11112,-0.00230,0.305
40100,-0.00654,-0.11218,-0.00216,0.305
40200,-0.00612,-0.11298,-0.00207,0.306
40300,-0.00481,-0.11409,-0.00210,0.304
40400,-0.00292,-0.11504,-0.00202,0.304
40500,-0.00224,-0.11662,-0.00209,0.304
40600,-0.00151,-0.11886,-0.00192,0.303
40700,-0.00073,-0.11946,-0.00149,0.301
40800,-0.00180,-0.11996,-0.00171,0.301
40900,-0.00160,-0.11956,-0.00134,0.301
41000,-0.00138,-0.12010,-0.00100,0.301
41100,-0.00068,-0.11992,-0.00070,0.302
41200,0.00043,-0.12217,-0.00052,0.302
41300,0.00056,-0.12208,-0.00044,0.303
41400,0.00001,-0.12355,-0.00047,0.302
41500,-0.00068,-0.12378,-0.00010,0.303
41600,-0.00132,-0.12414,0.00035,0.302
41700,-0.00247,-0.12308,0.00050,0.302
41800,-0.00282,-0.12259,0.00089,0.302
41900,-0.00288,-0.12242,0.00077,0.302
42000,-0.00256,-0.12315,0.00119,0.303
42100,-0.00237,-0.12251,0.00109,0.303
42200,-0.00085,-0.12254,0.00129,0.304
42300,-0.00019,-0.12287,0.00158,0.304
42400,0.00170,-0.12390,0.00148,0.303
42500,0.00121,-0.12371,0.00128,0.303
42600,0.00200,-0.12474,0.00136,0.303
42700,0.00173,-0.12611,0.00122,0.303
42800,0.00294,-0.12583,0.00085,0.302
42900,0.00392,-0.12583,0.00096,0.302
43000,0.00364,-0.12600,0.00117,0.302
43100,0.00397,-0.12531,0.00172,0.302
43200,0.00275,-0.12520,0.00127,0.303
43300,0.00370,-0.12538,0.00119,0.302
43400,0.00404,-0.12533,0.00093,0.303
43500,0.00473,-0.12508,0.00133,0.302
43600,0.00638,-0.12515,0.00216,0.302
43700,0.00721,-0.12479,0.00256,0.300
43800,0.00889,-0.12582,0.00314,0.300
43900,0.00945,-0.12571,0.00314,0.301
44000,0.01039,-0.12575,0.00259,0.302
44100,0.01136,-0.12632,0.00264,0.302
44200,0.01164,-0.12593,0.00231,0.302
44300,0.01183,-0.12608,0.00210,0.302
44400,0.01254,-0.12636,0.00177,0.301
44500,0.01255,-0.12685,0.00181,0.301
44600,0.01252,-0.12692,0.00200,0.301
44700,0.01242,-0.12635,0.00222,0.301
44800,0.01277,-0.12633,0.00184,0.301
44900,0.01213,-0.12518,0.00180,0.301
45000,0.01351,-0.12555,0.00249,0.302
45100,0.01363,-0.12548,0.00249,0.303
45200,0.01328,-0.12355,0.00216,0.303
45300,0.01372,-0.12347,0.00204,0.303
45400,0.01425,-0.12372,0.00217,0.303
45500,0.01484,-0.12415,0.00256,0.303
45600,0.01487,-0.12466,0.00280,0.303
45700,0.01567,-0.12466,0.00289,0.303
45800,0.01613,-0.12543,0.00334,0.304
45900,0.01627,-0.12482,0.00311,0.304
46000,0.01576,-0.12431,0.00312,0.305
46100,0.01554,-0.12328,0.00311,0.306
46200,0.01583,-0.12350,0.00281,0.307
46300,0.01709,-0.12283,0.00255,0.306
46400,0.01703,-0.12209,0.00312,0.305
46500,0.01673,-0.12148,0.00404,0.304
46600,0.01681,-0.12121,0.00378,0.304
46700,0.01715,-0.12018,0.00403,0.304
46800,0.01824,-0.12074,0.00407,0.304
46900,0.01700,-0.12049,0.00368,0.306
47000,0.01818,-0.12028,0.00404,0.307
47100,0.01823,-0.12017,0.00440,0.308
47200,0.01815,-0.11909,0.00398,0.309
47300,0.01850,-0.11875,0.00411,0.309
47400,0.01829,-0.11816,0.00455,0.309
47500,0.01750,-0.11907,0.00488,0.310
47600,0.01681,-0.11834,0.00462,0.310
47700,0.01607,-0.11851,0.00456,0.310
47800,0.01477,-0.11841,0.00449,0.311
47900,0.01418,-0.11795,0.00421,0.311
48000,0.01367,-0.11834,0.00445,0.311
48100,0.01290,-0.11849,0.00435,0.310
48200,0.01316,-0.11881,0.00463,0.311
48300,0.01274,-0.11884,0.00441,0.311
48400,0.01289,-0.11916,0.00430,0.312
48500,0.01322,-0.11910,0.00471,0.312
48600,0.01352,-0.11915,0.00493,0.312
48700,0.01491,-0.11963,0.00565,0.311
48800,0.01545,-0.12126,0.00566,0.313
48900,0.01422,-0.12162,0.00570,0.313
49000,0.01260,-0.12195,0.00590,0.314
49100,0.01108,-0.12134,0.00591,0.314
49200,0.01110,-0.12066,0.00595,0.313
49300,0.01098,-0.11961,0.00597,0.314
49400,0.01181,-0.11942,0.00627,0.314
49500,0.01120,-0.11915,0.00590,0.314
49600,0.01113,-0.11864,0.00601,0.314
49700,0.00995,-0.11853,0.00587,0.314
49800,0.00916,-0.11869,0.00586,0.313
49900,0.00883,-0.11791,0.00643,0.313
50000,0.00833,-0.11766,0.00684,0.313
50100,0.00889,-0.11727,0.00681,0.313
50200,0.00897,-0.11705,0.00715,0.312
50300,0.00783,-0.11679,0.00748,0.313
50400,0.00592,-0.11629,0.00780,0.313
50500,0.00469,-0.11568,0.00833,0.313
50600,0.00398,-0.11533,0.00856,0.313
50700,0.00346,-0.11549,0.00826,0.313
50800,0.00334,-0.11533,0.00876,0.314
50900,0.00406,-0.11726,0.00878,0.315
51000,0.00432,-0.11648,0.00906,0.315
51100,0.00369,-0.11591,0.00893,0.315
51200,0.00316,-0.11562,0.00922,0.315
51300,0.00409,-0.11668,0.00940,0.315
51400,0.00496,-0.11718,0.00957,0.315
51500,0.00458,-0.11758,0.00918,0.315
51600,0.00441,-0.11749,0.00856,0.315
51700,0.00460,-0.11757,0.00792,0.315
51800,0.00412,-0.11770,0.00787,0.314
51900,0.00379,-0.11755,0.00802,0.314
52000,0.00400,-0.11787,0.00761,0.314
52100,0.00400,-0.11810,0.00754,0.313
52200,0.00322,-0.11800,0.00761,0.314
52300,0.00314,-0.11795,0.00759,0.314
52400,0.00286,-0.11789,0.00774,0.314
52500,0.00344,-0.11899,0.00780,0.315
52600,0.00419,-0.11932,0.00790,0.313
52700,0.00398,-0.11878,0.00833,0.313
52800,0.00318,-0.11858,0.00849,0.312
52900,0.00192,-0.11758,0.00835,0.311
53000,0.00174,-0.11763,0.00798,0.311
53100,0.00090,-0.11705,0.00735,0.310
53200,0.00086,-0.11656,0.00764,0.309
53300,0.00040,-0.11718,0.00759,0.309
53400,0.00009,-0.11692,0.00765,0.308
53500,-0.00068,-0.11763,0.00752,0.307
53600,-0.00208,-0.11686,0.00695,0.305
53700,-0.00160,-0.11728,0.00646,0.307
53800,-0.00111,-0.11719,0.00609,0.307
53900,-0.00077,-0.11723,0.00610,0.306
54000,-0.00034,-0.11659,0.00673,0.305
54100,-0.00081,-0.11658,0.00699,0.304
54200,-0.00031,-0.11711,0.00690,0.305
54300,0.00049,-0.11715,0.00713,0.306
54400,0.00030,-0.11635,0.00701,0.306
54500,0.00010,-0.11637,0.00689,0.307
54600,-0.00008,-0.11548,0.00678,0.306
54700,0.00022,-0.11461,0.00660,0.307
54800,0.00004,-0.11495,0.00742,0.307
54900,0.00011,-0.11434,0.00770,0.309
