i,word,power,danger
71,greatest,0.539,-0.145
71,patience,-0.126,-0.459
72,hope,0.298,-0.425
72,charming,0.475,-0.180
73,afraid,-0.297,0.533
73,wild,0.289,0.438
74,advantage,0.490,-0.253
74,assure,0.430,-0.310
75,triumph,0.684,-0.116
75,victory,0.642,-0.136
76,happy,0.558,-0.188
76,true,0.367,-0.319
77,less,-0.520,-0.026
77,easy,-0.056,-0.480
78,pity,-0.497,0.159
78,important,0.468,-0.133
79,love,0.383,-0.341
79,pleasant,0.253,-0.441
80,strong,0.608,-0.112
80,healthy,0.362,-0.428
81,mother,0.333,-0.366
81,starve,-0.174,0.463
82,satisfied,0.367,-0.317
82,forward,0.325,-0.320
83,shameful,-0.314,0.447
83,assure,0.430,-0.310
84,shame,-0.388,0.421
84,ill,-0.473,0.234
85,spite,-0.294,0.365
85,invalid,-0.418,0.104
86,perfect,0.493,-0.351
86,progress,0.530,-0.161
87,afraid,-0.297,0.533
87,fortunate,0.522,-0.199
88,superior,0.562,-0.063
88,delighted,0.430,-0.196
89,charming,0.475,-0.180
89,cried,-0.290,0.308
90,proud,0.568,-0.140
90,rest,-0.101,-0.532
91,power,0.518,-0.022
91,interesting,0.488,-0.143
92,advantage,0.490,-0.253
92,foolish,-0.492,-0.052
93,friend,0.213,-0.351
93,justice,0.355,-0.150
94,gentleman,0.285,-0.267
94,sweetness,0.210,-0.310
95,friendship,0.293,-0.431
95,propriety,0.268,-0.377
96,great,0.531,-0.204
96,ill,-0.473,0.234
97,assure,0.430,-0.310
97,importance,0.426,-0.110
98,awful,-0.118,0.513
98,laugh,0.368,-0.248
99,thankful,0.314,-0.438
99,sacrifice,0.038,0.442
100,disliked,-0.415,0.312
100,admiration,0.437,-0.272
101,opportunity,0.576,-0.134
101,pain,-0.192,0.531
102,gallantry,0.548,-0.165
102,kind,0.169,-0.476
103,happiness,0.593,-0.158
103,danger,0.136,0.577
104,advantage,0.490,-0.253
104,hope,0.298,-0.425
105,felicity,0.515,-0.146
105,easy,-0.056,-0.480
106,ill,-0.473,0.234
106,party,0.419,-0.088
107,sister,0.168,-0.420
107,home,0.099,-0.413
108,pleasure,0.465,-0.144
108,advanced,0.445,-0.151
109,joy,0.606,-0.111
109,suffer,-0.187,0.575
110,intelligence,0.486,-0.164
110,sleep,-0.203,-0.448
111,win,0.586,-0.159
111,great,0.531,-0.204
112,excellent,0.543,-0.264
112,amusement,0.594,-0.065
113,punishment,-0.026,0.527
113,mistaken,-0.330,0.344
114,desperation,-0.052,0.546
114,tedious,-0.430,0.211
115,assure,0.430,-0.310
115,less,-0.520,-0.026
116,disappointing,-0.363,0.393
116,dying,-0.207,0.442
117,confidence,0.442,-0.467
117,greatest,0.539,-0.145
118,calmness,-0.049,-0.591
118,punish,0.008,0.535
119,advantage,0.490,-0.253
119,life,0.497,-0.209
120,strong,0.608,-0.112
120,weakness,-0.539,0.192
121,hope,0.298,-0.425
121,defect,-0.381,0.293
122,hate,-0.140,0.544
122,evil,-0.040,0.560
123,danger,0.136,0.577
123,tired,-0.498,0.132
124,pleasure,0.465,-0.144
124,sister,0.168,-0.420
125,positively,0.516,-0.227
125,excited,0.560,0.011
126,sorrow,-0.593,0.127
126,intelligence,0.486,-0.164
127,scarcely,-0.496,0.227
127,felicity,0.515,-0.146
128,mother,0.333,-0.366
128,welcomed,0.398,-0.242
129,glad,0.516,-0.127
129,family,0.281,-0.413
130,hope,0.298,-0.425
130,good,0.180,-0.406
131,unlucky,-0.481,0.224
131,extremely,0.503,0.144
132,life,0.497,-0.209
132,love,0.383,-0.341
133,dead,-0.467,0.279
133,nature,0.130,-0.470
134,cruelty,-0.017,0.528
134,little,-0.428,-0.163
135,hate,-0.140,0.544
135,misfortune,-0.205,0.479
136,fortunate,0.522,-0.199
136,disrespectful,-0.305,0.463
137,peace,0.136,-0.550
137,blessing,0.318,-0.460
138,injuring,-0.259,0.498
138,assure,0.430,-0.310
139,respectful,0.397,-0.391
139,valuable,0.437,-0.243
140,extraordinary,0.603,-0.167
140,kind,0.169,-0.476
141,great,0.531,-0.204
141,hopes,0.354,-0.293
142,interesting,0.488,-0.143
142,mother,0.333,-0.366
143,fame,0.574,-0.096
143,stately,0.573,-0.064
144,gallantry,0.548,-0.165
144,poor,-0.538,0.133
145,hardship,-0.084,0.482
145,forward,0.325,-0.320
146,excellence,0.580,-0.231
146,admired,0.464,-0.247
147,fortunate,0.522,-0.199
147,scarcely,-0.496,0.227
148,life,0.497,-0.209
148,pleased,0.455,-0.272
149,proud,0.568,-0.140
149,marry,0.449,-0.096
150,great,0.531,-0.204
150,pity,-0.497,0.159
151,superior,0.562,-0.063
151,sex,0.508,0.092
152,progress,0.530,-0.161
152,education,0.336,-0.427
153,happy,0.558,-0.188
153,charming,0.475,-0.180
154,talent,0.505,-0.245
154,pleasing,0.392,-0.324
155,glad,0.516,-0.127
155,teatime,-0.107,-0.493
156,library,-0.008,-0.458
156,books,-0.121,-0.434
157,benefit,0.386,-0.334
157,challenge,0.340,0.322
158,deficiency,-0.506,0.208
158,resent,-0.431,0.331
159,weak,-0.612,0.034
159,great,0.531,-0.204
160,respect,0.325,-0.405
160,family,0.281,-0.413
161,excellent,0.543,-0.264
161,generous,0.430,-0.410
162,leading,0.584,-0.078
162,positively,0.516,-0.227
163,forgotten,-0.466,0.027
163,sister,0.168,-0.420
164,engaged,0.466,-0.163
164,folly,-0.097,0.452
165,smart,0.559,-0.202
165,pleased,0.455,-0.272
166,air,-0.110,-0.386
166,attention,0.365,-0.094
167,happy,0.558,-0.188
167,pleasing,0.392,-0.324
168,correct,0.246,-0.382
168,party,0.419,-0.088
169,white,-0.100,-0.394
169,salutation,0.148,-0.331
170,glad,0.516,-0.127
170,absence,-0.469,0.058
171,politeness,0.202,-0.367
171,civility,0.166,-0.314
172,excess,0.282,0.360
172,good,0.180,-0.406
173,disagreeable,-0.393,0.416
173,comfortable,0.032,-0.542
174,assured,0.289,-0.382
174,sister,0.168,-0.420
175,life,0.497,-0.209
175,engagement,0.466,-0.221
176,pleasure,0.465,-0.144
176,small,-0.395,-0.250
177,grandeur,0.578,-0.060
177,force,0.468,0.109
178,happily,0.466,-0.223
178,indifferent,-0.397,-0.172
179,happy,0.558,-0.188
179,superior,0.562,-0.063
180,skill,0.510,-0.098
180,interesting,0.488,-0.143
181,opportunity,0.576,-0.134
181,thankful,0.314,-0.438
182,danger,0.136,0.577
182,extremely,0.503,0.144
183,noble,0.208,-0.396
183,relieved,0.029,-0.419
184,disagreeable,-0.393,0.416
184,family,0.281,-0.413
185,disgusted,-0.257,0.503
185,strongly,0.495,0.141
186,fortune,0.592,-0.133
186,wonder,0.540,-0.119
187,pain,-0.192,0.531
187,hope,0.298,-0.425
188,great,0.531,-0.204
188,scandalous,0.053,0.547
189,gallantry,0.548,-0.165
189,pleased,0.455,-0.272
190,excellent,0.543,-0.264
190,life,0.497,-0.209
191,kindness,0.152,-0.420
191,good,0.180,-0.406
192,less,-0.520,-0.026
192,lose,-0.408,0.291
193,worse,-0.320,0.446
193,disgraced,-0.318,0.411
194,ill,-0.473,0.234
194,jealousy,-0.055,0.450
195,revenge,0.168,0.504
195,dreadful,-0.177,0.486
196,greatest,0.539,-0.145
196,youth,0.440,-0.232
197,death,-0.149,0.490
197,providing,0.468,-0.177
198,wonderful,0.605,-0.136
198,proud,0.568,-0.140
199,powerful,0.695,-0.016
199,generous,0.430,-0.410
200,amusement,0.594,-0.065
200,pain,-0.192,0.531
201,education,0.336,-0.427
201,friendship,0.293,-0.431
202,prosperous,0.566,-0.220
202,fortune,0.592,-0.133
203,success,0.758,-0.050
203,great,0.531,-0.204
204,low,-0.526,-0.059
204,family,0.281,-0.413
205,useless,-0.527,0.202
205,poor,-0.538,0.133
206,clever,0.293,-0.378
206,dictatorial,0.228,0.415
207,rest,-0.101,-0.532
207,satisfaction,0.409,-0.216
208,lost,-0.327,0.315
208,silent,-0.354,-0.245
209,nature,0.130,-0.470
209,delighted,0.430,-0.196
210,accident,-0.111,0.545
210,deceived,-0.280,0.430
211,ill,-0.473,0.234
211,disgraceful,-0.300,0.430
212,truth,0.321,-0.402
212,value,0.444,-0.202
213,suffer,-0.187,0.575
213,distressing,-0.183,0.474
214,extremely,0.503,0.144
214,family,0.281,-0.413
215,happiness,0.593,-0.158
215,happy,0.558,-0.188
216,amusement,0.594,-0.065
216,assure,0.430,-0.310
217,dreading,-0.152,0.445
217,entertained,0.422,-0.183
218,opportunity,0.576,-0.134
218,evil,-0.040,0.560
219,gallantry,0.548,-0.165
219,worse,-0.320,0.446
220,mother,0.333,-0.366
220,absence,-0.469,0.058
221,quarrel,0.009,0.576
221,useless,-0.527,0.202
222,less,-0.520,-0.026
222,alarmed,-0.007,0.447
223,dreadful,-0.177,0.486
223,pleasure,0.465,-0.144
224,intelligence,0.486,-0.164
224,assured,0.289,-0.382
225,injury,-0.250,0.503
225,destroyed,-0.293,0.465
226,shame,-0.388,0.421
226,disagreeable,-0.393,0.416
227,hate,-0.140,0.544
227,evil,-0.040,0.560
228,dignity,0.389,-0.308
228,unpleasant,-0.363,0.337
229,punishment,-0.026,0.527
229,kind,0.169,-0.476
230,advantage,0.490,-0.253
230,trouble,-0.068,0.476
231,great,0.531,-0.204
231,amaze,0.566,-0.038
232,affirmative,0.447,-0.181
232,unable,-0.425,0.225
233,suffer,-0.187,0.575
233,happy,0.558,-0.188
234,superior,0.562,-0.063
234,congratulations,0.509,-0.148
235,scarcely,-0.496,0.227
235,bright,0.433,-0.250
236,success,0.758,-0.050
236,less,-0.520,-0.026
237,books,-0.121,-0.434
237,resentment,-0.031,0.414
238,hope,0.298,-0.425
238,secure,0.413,-0.314
239,opportunity,0.576,-0.134
239,fear,-0.200,0.534
240,powerful,0.695,-0.016
240,anger,0.122,0.499
241,confidence,0.442,-0.467
241,ill,-0.473,0.234
242,wonder,0.540,-0.119
242,worse,-0.320,0.446
243,happy,0.558,-0.188
243,assure,0.430,-0.310
244,happiness,0.593,-0.158
244,engaged,0.466,-0.163
245,afraid,-0.297,0.533
245,less,-0.520,-0.026
246,lose,-0.408,0.291
246,satisfied,0.367,-0.317
247,rest,-0.101,-0.532
247,power,0.518,-0.022
248,great,0.531,-0.204
248,fortunate,0.522,-0.199
249,wonderfully,0.590,-0.146
249,thankful,0.314,-0.438
250,freedom,0.548,-0.292
250,superior,0.562,-0.063
251,excellent,0.543,-0.264
251,dignity,0.389,-0.308
252,education,0.336,-0.427
252,low,-0.526,-0.059
253,wonder,0.540,-0.119
253,discouraged,-0.530,0.050
254,pleased,0.455,-0.272
254,assure,0.430,-0.310
255,happy,0.558,-0.188
255,felicity,0.515,-0.146
256,unlucky,-0.481,0.224
256,vexed,-0.110,0.483
257,rich,0.544,-0.171
257,life,0.497,-0.209
258,fortunate,0.522,-0.199
258,less,-0.520,-0.026
259,afraid,-0.297,0.533
259,advantage,0.490,-0.253
260,shame,-0.388,0.421
260,mother,0.333,-0.366
261,opportunity,0.576,-0.134
261,company,0.382,-0.333
262,weak,-0.612,0.034
262,progress,0.530,-0.161
263,extremely,0.503,0.144
263,delighted,0.430,-0.196
264,great,0.531,-0.204
264,anxiety,-0.116,0.501
265,comfortable,0.032,-0.542
265,offensive,0.073,0.532
266,respect,0.325,-0.405
266,kind,0.169,-0.476
267,success,0.758,-0.050
267,happy,0.558,-0.188
268,amusement,0.594,-0.065
268,rest,-0.101,-0.532
269,greatest,0.539,-0.145
269,engaged,0.466,-0.163
270,scarcely,-0.496,0.227
270,company,0.382,-0.333
271,elegance,0.393,-0.360
271,enjoying,0.514,-0.106
272,opportunity,0.576,-0.134
272,violent,0.090,0.574
273,pleasure,0.465,-0.144
273,satisfied,0.367,-0.317
274,worth,0.471,-0.246
274,assure,0.430,-0.310
275,hope,0.298,-0.425
275,mother,0.333,-0.366
276,vexed,-0.110,0.483
276,nonsense,-0.377,0.214
277,distress,-0.126,0.539
277,respected,0.430,-0.321
278,life,0.497,-0.209
278,natural,-0.020,-0.520
279,happiness,0.593,-0.158
279,matrimony,0.488,-0.144
280,small,-0.395,-0.250
280,marry,0.449,-0.096
281,respect,0.325,-0.405
281,power,0.518,-0.022
282,loss,-0.395,0.351
282,death,-0.149,0.490
283,violence,0.147,0.625
283,fortune,0.592,-0.133
284,assure,0.430,-0.310
284,learn,0.472,-0.128
285,extraordinary,0.603,-0.167
285,discouraged,-0.530,0.050
286,happy,0.558,-0.188
286,ill,-0.473,0.234
287,rich,0.544,-0.171
287,family,0.281,-0.413
288,cruelty,-0.017,0.528
288,hope,0.298,-0.425
289,believing,0.386,-0.310
289,refusal,-0.300,0.392
290,life,0.497,-0.209
290,loveliness,0.414,-0.315
291,elegance,0.393,-0.360
291,sincere,0.259,-0.455
292,excellent,0.543,-0.264
292,gallantry,0.548,-0.165
293,successful,0.647,-0.152
293,love,0.383,-0.341
294,glad,0.516,-0.127
294,pleasure,0.465,-0.144
295,happiness,0.593,-0.158
295,foolish,-0.492,-0.052
296,felicity,0.515,-0.146
296,force,0.468,0.109
297,calm,-0.162,-0.556
297,marry,0.449,-0.096
298,hopeless,-0.580,0.138
298,library,-0.008,-0.458
299,unhappy,-0.443,0.266
299,mother,0.333,-0.366
300,disappointed,-0.415,0.280
300,small,-0.395,-0.250
301,threatened,-0.124,0.613
301,secure,0.413,-0.314
302,hurt,-0.239,0.496
302,family,0.281,-0.413
303,poor,-0.538,0.133
303,alone,-0.448,-0.121
304,dead,-0.467,0.279
304,refusing,-0.312,0.363
305,suffer,-0.187,0.575
305,great,0.531,-0.204
306,stately,0.573,-0.064
306,irritation,-0.057,0.538
307,resent,-0.431,0.331
307,satisfied,0.367,-0.317
308,happiness,0.593,-0.158
308,perfect,0.493,-0.351
309,fear,-0.200,0.534
309,advantage,0.490,-0.253
310,scarcely,-0.496,0.227
310,rest,-0.101,-0.532
311,ill,-0.473,0.234
311,angry,0.045,0.505
312,unpleasant,-0.363,0.337
312,absence,-0.469,0.058
313,mother,0.333,-0.366
313,little,-0.428,-0.163
314,cheerfulness,0.504,-0.124
314,anxiety,-0.116,0.501
315,good,0.180,-0.406
315,party,0.419,-0.088
316,pain,-0.192,0.531
316,enjoy,0.517,-0.166
317,happiness,0.593,-0.158
317,unlucky,-0.481,0.224
318,may,-0.192,-0.315
318,brother,0.128,-0.327
319,loss,-0.395,0.351
319,despair,-0.236,0.470
320,scarcely,-0.496,0.227
320,elegance,0.393,-0.360
321,opportunity,0.576,-0.134
321,engaging,0.538,-0.231
322,hope,0.298,-0.425
322,secure,0.413,-0.314
323,love,0.383,-0.341
323,marry,0.449,-0.096
324,succeed,0.642,-0.114
324,grand,0.594,-0.106
325,less,-0.520,-0.026
325,power,0.518,-0.022
326,happiness,0.593,-0.158
326,happy,0.558,-0.188
327,grieved,-0.440,0.246
327,utmost,0.483,0.022
328,independent,0.432,-0.304
328,family,0.281,-0.413
329,great,0.531,-0.204
329,comfortable,0.032,-0.542
330,opportunity,0.576,-0.134
330,kind,0.169,-0.476
331,success,0.758,-0.050
331,independence,0.572,-0.157
332,adventure,0.530,-0.047
332,hope,0.298,-0.425
333,stupidity,-0.511,0.247
333,happiest,0.525,-0.195
334,fortune,0.592,-0.133
334,excited,0.560,0.011
335,overjoyed,0.487,-0.141
335,dying,-0.207,0.442
336,happiness,0.593,-0.158
336,matrimony,0.488,-0.144
337,wonder,0.540,-0.119
337,hurt,-0.239,0.496
338,prosperous,0.566,-0.220
338,burst,0.267,0.535
339,danger,0.136,0.577
339,neglect,-0.447,0.349
340,satisfied,0.367,-0.317
340,displeasure,-0.345,0.309
341,liberty,0.499,-0.248
341,absence,-0.469,0.058
342,hope,0.298,-0.425
342,kind,0.169,-0.476
343,great,0.531,-0.204
343,love,0.383,-0.341
344,succeed,0.642,-0.114
344,strong,0.608,-0.112
345,happiness,0.593,-0.158
345,comfortable,0.032,-0.542
346,advantage,0.490,-0.253
346,action,0.538,0.099
347,happy,0.558,-0.188
347,humiliating,-0.275,0.456
348,less,-0.520,-0.026
348,anger,0.122,0.499
349,positive,0.490,-0.310
349,congratulations,0.509,-0.148
350,excellent,0.543,-0.264
350,broken,-0.368,0.308
351,rude,-0.136,0.535
351,scolding,-0.115,0.536
352,tranquil,-0.091,-0.588
352,experience,0.512,-0.138
353,triumph,0.684,-0.116
353,confidence,0.442,-0.467
354,happiness,0.593,-0.158
354,hope,0.298,-0.425
355,enjoying,0.514,-0.106
355,kind,0.169,-0.476
356,happiest,0.525,-0.195
356,pleasure,0.465,-0.144
357,disagreeable,-0.393,0.416
357,distress,-0.126,0.539
358,successful,0.647,-0.152
358,painful,-0.232,0.485
359,happy,0.558,-0.188
359,mother,0.333,-0.366
360,lovemaking,0.665,-0.032
360,great,0.531,-0.204
361,dead,-0.467,0.279
361,low,-0.526,-0.059
362,gloomy,-0.393,0.213
362,survivor,0.435,0.058
363,thankful,0.314,-0.438
363,end,-0.369,0.106
364,accomplishment,0.581,-0.151
364,rest,-0.101,-0.532
365,pleasure,0.465,-0.144
365,sister,0.168,-0.420
366,happiness,0.593,-0.158
366,anger,0.122,0.499
367,peace,0.136,-0.550
367,died,-0.292,0.443
368,pain,-0.192,0.531
368,irritation,-0.057,0.538
369,fear,-0.200,0.534
369,hope,0.298,-0.425
370,extraordinary,0.603,-0.167
370,afraid,-0.297,0.533
371,dissatisfied,-0.350,0.364
371,ruin,-0.368,0.319
372,fortune,0.592,-0.133
372,worse,-0.320,0.446
373,strong,0.608,-0.112
373,danger,0.136,0.577
374,happy,0.558,-0.188
374,admiration,0.437,-0.272
375,unhappy,-0.443,0.266
375,error,-0.393,0.321
376,happiness,0.593,-0.158
376,displease,-0.297,0.477
377,great,0.531,-0.204
377,liberty,0.499,-0.248
378,succeed,0.642,-0.114
378,distress,-0.126,0.539
379,wonder,0.540,-0.119
379,less,-0.520,-0.026
380,congratulate,0.525,-0.142
380,love,0.383,-0.341
381,fortune,0.592,-0.133
381,pleasant,0.253,-0.441
382,pleased,0.455,-0.272
382,disliked,-0.415,0.312
383,pain,-0.192,0.531
383,happiest,0.525,-0.195
384,superior,0.562,-0.063
384,education,0.336,-0.427
385,intelligent,0.493,-0.258
385,active,0.450,-0.083
386,refused,-0.406,0.213
386,marriage,0.440,-0.111
387,greatest,0.539,-0.145
387,glad,0.516,-0.127
388,accident,-0.111,0.545
388,alone,-0.448,-0.121
389,suffer,-0.187,0.575
389,excellent,0.543,-0.264
390,strong,0.608,-0.112
390,violent,0.090,0.574
391,poor,-0.538,0.133
391,pleased,0.455,-0.272
392,little,-0.428,-0.163
392,live,0.399,-0.148
393,hope,0.298,-0.425
393,interesting,0.488,-0.143
394,hopeless,-0.580,0.138
394,danger,0.136,0.577
395,engagement,0.466,-0.221
395,family,0.281,-0.413
396,love,0.383,-0.341
396,death,-0.149,0.490
397,power,0.518,-0.022
397,intelligence,0.486,-0.164
398,opportunity,0.576,-0.134
398,proud,0.568,-0.140
399,afraid,-0.297,0.533
399,fortune,0.592,-0.133
400,alarm,0.197,0.459
400,father,0.310,-0.327
401,greatest,0.539,-0.145
401,miserable,-0.463,0.277
402,company,0.382,-0.333
402,short,-0.461,0.055
403,wise,0.330,-0.430
403,hope,0.298,-0.425
404,wonderful,0.605,-0.136
404,great,0.531,-0.204
405,happy,0.558,-0.188
405,good,0.180,-0.406
406,pleasure,0.465,-0.144
406,little,-0.428,-0.163
407,comfort,0.175,-0.441
407,home,0.099,-0.413
408,rest,-0.101,-0.532
408,safe,0.293,-0.410
409,opportunity,0.576,-0.134
409,accident,-0.111,0.545
410,scarcely,-0.496,0.227
410,glad,0.516,-0.127
411,deceive,-0.133,0.480
411,blind,-0.467,0.139
412,confidence,0.442,-0.467
412,natural,-0.020,-0.520
413,pity,-0.497,0.159
413,respect,0.325,-0.405
414,anxiety,-0.116,0.501
414,sister,0.168,-0.420
415,afraid,-0.297,0.533
415,fears,-0.206,0.530
416,strong,0.608,-0.112
416,happy,0.558,-0.188
417,pain,-0.192,0.531
417,advantage,0.490,-0.253
418,fortune,0.592,-0.133
418,believing,0.386,-0.310
419,independence,0.572,-0.157
419,quarrel,0.009,0.576
420,hate,-0.140,0.544
420,evil,-0.040,0.560
421,love,0.383,-0.341
421,interesting,0.488,-0.143
422,disgust,-0.224,0.506
422,mother,0.333,-0.366
423,perfect,0.493,-0.351
423,smoothly,-0.024,-0.485
424,admired,0.464,-0.247
424,pity,-0.497,0.159
425,worth,0.471,-0.246
425,sincere,0.259,-0.455
426,healthful,0.320,-0.427
426,pleased,0.455,-0.272
427,joy,0.606,-0.111
427,grieved,-0.440,0.246
428,hope,0.298,-0.425
428,reasonable,0.286,-0.393
429,afraid,-0.297,0.533
429,christmas,0.412,-0.308
430,fortune,0.592,-0.133
430,poor,-0.538,0.133
431,sick,-0.494,0.223
431,ill,-0.473,0.234
432,happiness,0.593,-0.158
432,quality,0.425,-0.311
433,life,0.497,-0.209
433,felicity,0.515,-0.146
434,fear,-0.200,0.534
434,less,-0.520,-0.026
435,small,-0.395,-0.250
435,view,0.137,-0.427
436,family,0.281,-0.413
436,pleasure,0.465,-0.144
437,glory,0.565,-0.149
437,refusing,-0.312,0.363
438,faint,-0.493,0.253
438,wonder,0.540,-0.119
439,leading,0.584,-0.078
439,scarcely,-0.496,0.227
440,kingdom,0.426,-0.105
440,handsome,0.374,-0.205
441,opportunity,0.576,-0.134
441,great,0.531,-0.204
442,enjoyment,0.424,-0.225
442,delighted,0.430,-0.196
443,respectable,0.384,-0.340
443,charming,0.475,-0.180
444,quiet,-0.093,-0.486
444,contentment,0.443,-0.183
445,violent,0.090,0.574
445,agitation,0.038,0.483
446,low,-0.526,-0.059
446,mistake,-0.393,0.253
447,greatest,0.539,-0.145
447,rude,-0.136,0.535
448,greatness,0.684,-0.163
448,fortune,0.592,-0.133
449,triumph,0.684,-0.116
449,grandeur,0.578,-0.060
450,great,0.531,-0.204
450,less,-0.520,-0.026
451,splendid,0.536,-0.108
451,scarcely,-0.496,0.227
452,superior,0.562,-0.063
452,worse,-0.320,0.446
453,pleased,0.455,-0.272
453,pleasant,0.253,-0.441
454,extraordinary,0.603,-0.167
454,calm,-0.162,-0.556
455,courage,0.526,-0.067
455,low,-0.526,-0.059
456,inferior,-0.522,-0.013
456,frightened,-0.199,0.459
457,insignificant,-0.580,0.152
457,mother,0.333,-0.366
458,worth,0.471,-0.246
458,engaged,0.466,-0.163
459,life,0.497,-0.209
459,admiration,0.437,-0.272
460,indisposed,-0.392,0.274
460,little,-0.428,-0.163
461,great,0.531,-0.204
461,family,0.281,-0.413
462,kind,0.169,-0.476
462,genteel,0.241,-0.410
463,happy,0.558,-0.188
463,glad,0.516,-0.127
464,opportunity,0.576,-0.134
464,superior,0.562,-0.063
465,education,0.336,-0.427
465,slave,-0.276,0.426
466,wonderful,0.605,-0.136
466,idle,-0.600,-0.014
467,treasure,0.489,-0.232
467,delighted,0.430,-0.196
468,amusement,0.594,-0.065
468,company,0.382,-0.333
469,smiling,0.415,-0.219
469,suspected,-0.076,0.410
470,great,0.531,-0.204
470,fears,-0.206,0.530
471,broken,-0.368,0.308
471,noble,0.208,-0.396
472,trouble,-0.068,0.476
472,satisfy,0.470,-0.057
473,thankful,0.314,-0.438
473,family,0.281,-0.413
474,excellent,0.543,-0.264
474,alteration,0.055,0.451
475,scarcely,-0.496,0.227
475,less,-0.520,-0.026
476,sacrifice,0.038,0.442
476,fault,-0.356,0.252
477,peace,0.136,-0.550
477,poor,-0.538,0.133
478,evil,-0.040,0.560
478,loss,-0.395,0.351
479,great,0.531,-0.204
479,pleasant,0.253,-0.441
480,hopeless,-0.580,0.138
480,important,0.468,-0.133
